,JOB_ID,ROUTE_ID,CNSLDTN_ID,FILL_DC_CD,DC_CD,ASN_TYPE_CD,ASN_TYPE_DESC,DELIVERY_TYPE,CARRIER_SCAC_NAME,CARRIER_SCAC_CD,DLVRY_ACTL_DATETIME,DELIVERY_SEQ,TOTAL_RATE,TOPSIDE_COST,LASTMILE_TOTAL_COST,LASTMILE_BASE_COST,LASTMILE_FUEL_COST,LASTMILE_MISC_COST,STOP_COUNT_VAL_ROUTE_LVL,TOTE_COUNT_VAL_ROUTE_LVL,STOP_COUNT_VAL,TOTE_COUNT_VAL,ROUTE_COUNT_VAL,DISTANCE_VAL
3371,8162-H04-010-146265-260519,8162_H04,C_146265,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-19 23:59:59,010,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3372,8162-G04-010-833539-260519,8162_G04,C_833539,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-19 23:59:59,010,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0
3373,8162-H06-005-905176-260508,8162_H06,C_905176,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-08 23:59:59,005,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0
3374,8162-G05-007-905017-260508,8162_G05,C_208840,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-08 23:59:59,007,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3375,8162-G01-015-273236-260506,8162_G01,C_273236,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-06 23:59:59,015,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3376,8162-H06-010-151572-260514,8162_H06,C_151568,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-14 23:59:59,010,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0
3377,8162-H02-040-407917-260513,8162_H02,C_407917,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-13 23:59:59,040,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3378,8162-G05-020-599776-260511,8162_G05,C_599776,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-11 23:59:59,020,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3379,8163-G05-005-221190-260511,8163_G05,C_441221,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-11 23:59:59,005,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0
3380,8162-G01-015-273236-260507,8162_G01,C_273236,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-07 23:59:59,015,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3381,8163-G02-005-071322-260507,8163_G02,C_713914,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-07 23:59:59,005,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0
3382,8162-G01-040-099634-260507,8162_G01,C_099634,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-07 23:59:59,040,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3383,8162-H04-015-970222-260506,8162_H04,C_970222,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-06 23:59:59,015,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3384,8163-G07-005-589418-260506,8163_G07,C_599132,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-06 23:59:59,005,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,0.0
3385,8162-G04-015-134184-260511,8162_G04,C_134184,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-11 23:59:59,015,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3386,8162-H05-025-253079-260506,8162_H05,C_253079,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-06 23:59:59,025,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3387,8162-G05-002-219681-260514,8162_G05,C_219681,8162,XD_8162_OH_CLEVELAND.YZER,FM,Customer,REG,Yzer LLC,YZER,2026-05-14 23:59:59,002,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,1.0
3388,Z-3573941,8163_G01,,8162,XD_8162_OH_CLEVELAND.YZER,RC,Route Chrg,REG,Yzer LLC,YZER,2026-05-06 23:59:59,000,,0.0,,,0.0,,5.0,17.0,5.0,17.0,1.0,1.0
3389,Z-3567682,8163_H04,,8162,XD_8162_OH_CLEVELAND.YZER,RC,Route Chrg,REG,Yzer LLC,YZER,2026-05-05 23:59:59,000,,0.0,,,0.0,,7.0,18.0,7.0,18.0,1.0,1.0
